AirlineID,Name,Alias,IATA,ICAO,Country
-1,Unknown,\N,-,N/A,\N
1,Private flight,\N,-,N/A,
2,135 Airways,\N,,GNL,United States
3,1Time Airline,\N,1T,RNX,South Africa
4,2 Sqn No 1 Elementary Flying Training School,\N,,WYT,United Kingdom
5,213 Flight Unit,\N,,TFU,Russia
6,223 Flight Unit State Airline,\N,,CHD,Russia
7,224th Flight Unit,\N,,TTF,Russia
8,247 Jet Ltd,\N,,TWF,United Kingdom
9,3D Aviation,\N,,SEC,United States
10,40-Mile Air,\N,Q5,MLA,United States
11,4D Air,\N,,QRT,Thailand
12,611897 Alberta Limited,\N,,THD,Canada
13,Ansett Australia,\N,AN,AAA,Australia
14,Abacus International,\N,1B,,Singapore
15,Abelag Aviation,\N,W9,AAB,Belgium
16,Army Air Corps,\N,,AAC,United Kingdom
17,Aero Aviation Centre Ltd.,\N,,AAD,Canada
18,Aero Servicios Ejecutivos Internacionales,\N,,SII,Mexico
19,Aero Biniza,\N,,BZS,Mexico
20,Aero Albatros,\N,,ABM,Spain
21,Aigle Azur,\N,ZI,AAF,France
22,Aloha Airlines,\N,AQ,AAH,United States
23,Alaska Island Air,\N,,AAK,United States
24,American Airlines,\N,AA,AAL,United States
25,Aviation Management Corporation,\N,,AAM,United States
26,Atlantis Airlines (USA),\N,,AAO,United States
27,Aerovista Airlines,\N,,AAP,United Arab Emirates
28,Asiana Airlines,\N,OZ,AAR,Republic of Korea
29,Askari Aviation,\N,4K,AAS,Pakistan
30,Australia Asia Airlines,\N,,AAU,Australia
31,Astro Air International,\N,,AAV,United States
32,Afriqiyah Airways,\N,8U,AAW,Libya
33,Afrinat International Airlines,\N,Q9,AFU,Gambia
34,Afric'air Express,\N,,AAX,Ivory Coast
35,Allegiant Air,\N,G4,AAY,United States
36,Angus Aviation,\N,,AAZ,Canada
37,Artem-Avia,\N,,ABA,Ukraine
38,African Business and Transportations,\N,,ABB,Democratic Republic of the Congo
39,Aban Air,\N,K5,ABE,Iran
40,Aerial Oy,\N,,ABF,Finland
41,Abakan-Avia,\N,,ABG,Russia
42,ABSA - Aerolinhas Brasileiras,\N,M3,TUS,Brazil
43,Abaet,\N,,ABJ,Brazil
44,Alberta Citylink,\N,,ABK,Canada
45,APSA Colombia,\N,,ABO,Colombia
46,Aerovias Bueno,\N,,ABU,Colombia
47,Aerocenter,\N,,ACR,AEROCENTER
48,Antrak Air,\N,04,ABV,Ghana
49,Airborne Express,\N,GB,ABX,United States
50,ABX Air,\N,GB,ABX,United States
51,ATA Brasil,\N,,ABZ,Brazil
52,Avcard Services,\N,,ACC,United Kingdom
53,Academy Airlines,\N,,ACD,United States
54,Aero Comondu,\N,,ACO,Mexico
55,Astral Aviation,\N,8V,ACP,Kenya
56,Air Cess,\N,,ACS,Liberia
57,Air Aurora,\N,,AAI,United States
58,Air Cargo Transportation System,\N,,ACU,Kenya
